nusoc;cdepso;cvilso;sexsoc;bgesso;aadhso;anaiso;mnaiso;jnaiso;cspsoc;sitmat;nbenf;accmai;accsms;sitpav1
21112;50;260;1;111;2023;1983;3;31;40;N;0;1;1;Non abonné
21128;69;190;1;51;2023;1961;4;13;80;NC;0;1;0;Non abonné
21211;97;233;1;154;2023;1978;11;25;40;N;0;1;1;Non abonné
21259;85;100;1;66;2023;1960;11;18;80;O;0;1;0;Non abonné
21273;74;250;1;64;2023;1989;1;14;80;N;0;1;1;Non abonné
21343;59;370;1;166;2023;1984;2;23;40;N;0;1;1;Non abonné
21350;14;123;1;111;2023;1989;2;16;40;NC;0;1;1;Non abonné
21418;53;000;1;46;2023;1991;1;8;62;N;0;1;1;Non abonné
21465;71;290;1;51;2023;1993;6;2;50;N;0;1;1;Non abonné
21475;13;120;1;107;2023;1960;9;18;40;N;0;1;1;Non abonné
21486;34;000;1;11;2023;1974;9;22;80;NC;0;1;1;Non abonné
21560;98;701;1;156;2023;1966;8;31;80;NC;0;2;1;Non abonné
21593;69;780;2;51;2023;1963;1;12;40;O;0;1;1;Non abonné
21612;34;470;1;11;2023;1979;7;12;30;O;0;1;1;Non abonné
21623;33;120;1;9;2023;1992;9;10;40;N;0;1;1;Abonné
21642;56;320;1;46;2023;1971;8;25;63;N;0;1;1;Non abonné
21709;76;280;1;27;2023;1993;2;10;50;NC;0;1;1;Non abonné
21712;34;510;1;11;2023;1961;4;12;40;N;0;1;1;Abonné
21731;02;600;1;138;2023;1995;9;10;80;NC;0;1;1;Non abonné
21802;38;230;1;39;2023;1981;11;9;50;O;0;1;0;Non abonné
21935;59;670;1;166;2023;1985;4;14;80;N;0;1;1;Non abonné
21981;75;001;1;92;2023;1942;3;29;40;NC;0;0;1;Non abonné
22025;29;690;2;139;2023;1986;9;17;40;O;0;0;0;Non abonné
22207;31;200;1;68;2023;1983;6;21;40;NC;0;1;1;Non abonné
22213;44;240;2;66;2023;1994;8;3;62;N;0;1;1;Non abonné
22277;27;170;2;27;2023;1987;6;22;63;N;0;1;1;Non abonné
22432;84;750;1;107;2023;1995;10;1;62;N;0;1;0;Non abonné
22481;15;200;1;62;2023;1957;6;13;80;O;0;2;0;Non abonné
22571;74;100;1;64;2023;1994;3;1;40;NC;0;1;1;Non abonné
22624;31;200;1;68;2023;1990;12;9;50;NC;0;1;1;Non abonné
22794;95;130;2;90;2023;1963;2;2;40;N;0;0;0;Non abonné
22805;81;100;1;68;2023;1961;4;21;63;O;0;1;1;Non abonné
22811;03;400;1;62;2023;1996;10;1;62;NC;0;1;1;Non abonné
22822;63;000;2;62;2023;1989;11;11;62;N;0;1;1;Non abonné
22931;78;180;1;90;2023;1994;5;26;40;O;0;1;0;Non abonné
22954;97;300;1;155;2023;1970;2;25;80;N;0;2;1;Non abonné
22977;83;400;1;30;2023;1970;12;19;80;NC;0;1;1;Non abonné
23069;30;128;1;36;2023;1989;5;10;40;O;0;1;1;Non abonné
23081;38;160;1;39;2023;1992;3;31;63;O;0;1;1;Non abonné
23094;77;370;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
23126;75;008;1;90;2023;1963;4;16;40;O;0;1;1;Non abonné
23138;33;240;1;9;2023;1960;2;2;30;O;0;1;1;Non abonné
23165;75;005;1;92;2023;1988;6;13;20;N;0;1;1;Non abonné
23208;44;590;1;66;2023;1988;7;26;40;N;0;0;0;Non abonné
23217;16;430;1;9;2023;1991;5;19;50;N;0;1;1;Non abonné
23228;77;610;1;92;2023;1992;8;20;40;N;0;1;1;Non abonné
23289;51;460;2;151;2023;1994;9;4;62;N;0;1;1;Non abonné
23314;59;140;1;166;2023;1984;7;24;40;N;0;2;1;Non abonné
23327;18;390;1;122;2023;1991;5;11;50;O;0;1;1;Non abonné
23411;63;119;1;62;2023;1992;1;30;40;N;0;1;1;Non abonné
23481;49;380;1;66;2023;1975;2;25;50;NC;0;0;1;Non abonné
23671;34;130;2;117;2023;1968;6;11;80;N;0;1;1;Non abonné
23681;83;140;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
23704;92;300;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
24088;06;560;2;17;2023;1947;7;5;61;N;0;2;0;Non abonné
24139;73;000;1;64;2023;1981;5;5;40;O;0;1;1;Non abonné
24183;62;112;1;166;2023;1994;10;24;40;N;0;1;1;Non abonné
24308;94;600;1;92;2023;1994;6;9;62;NC;0;1;1;Non abonné
24356;73;400;1;64;2023;1996;11;28;50;O;0;0;1;Abonné
24364;69;160;1;51;2023;1991;3;18;40;NC;0;1;1;Non abonné
24365;35;440;1;46;2023;1992;9;3;40;N;0;1;1;Non abonné
24385;59;290;1;166;2023;1973;5;5;40;O;0;2;0;Non abonné
24429;31;100;1;68;2023;1992;7;24;40;NC;0;1;1;Non abonné
24480;34;510;2;11;2023;1975;6;14;40;O;0;0;0;Non abonné
24582;75;007;1;90;2023;1986;7;18;13;N;0;1;1;Non abonné
24624;62;810;1;166;2023;1991;4;30;40;N;0;1;1;Non abonné
24725;69;560;1;51;2023;1967;6;21;20;O;0;1;1;Abonné
24842;06;200;1;41;2023;1989;10;17;40;N;0;1;1;Non abonné
24874;78;120;1;90;2023;1995;1;27;62;O;0;1;1;Non abonné
24880;74;120;2;64;2023;1967;1;11;40;NC;0;1;1;Non abonné
24911;02;680;1;138;2023;1990;5;29;20;O;0;1;1;Non abonné
25018;06;200;1;41;2023;1941;10;18;61;O;0;1;1;Non abonné
25069;75;006;1;90;2023;1947;1;16;40;O;0;1;1;Non abonné
25109;76;930;1;27;2023;1975;1;12;40;O;0;1;1;Non abonné
25126;21;250;1;131;2023;1994;12;6;40;N;0;1;1;Non abonné
25191;66;300;1;11;2023;1965;9;30;40;O;0;1;1;Non abonné
25207;59;800;1;166;2023;1993;6;27;62;NC;0;1;1;Non abonné
25251;74;370;2;64;2023;1987;3;25;40;O;0;1;1;Non abonné
25279;66;350;1;11;2023;1946;6;1;40;O;0;2;1;Non abonné
25303;14;970;1;111;2023;1996;11;12;62;N;0;1;1;Non abonné
25358;59;185;2;166;2023;1992;10;5;40;O;0;1;1;Non abonné
25366;19;100;1;105;2023;1992;7;28;63;N;0;1;1;Non abonné
25399;31;380;1;68;2023;1969;8;19;80;O;0;1;2;Non abonné
25459;71;120;1;51;2023;1991;4;5;40;O;0;1;0;Non abonné
25466;30;650;1;36;2023;1961;3;14;61;O;0;1;1;Non abonné
25474;37;260;1;84;2023;1988;4;20;40;O;0;1;1;Non abonné
25536;31;330;1;68;2023;1992;1;14;40;N;0;1;1;Non abonné
25660;74;140;1;64;2023;1955;6;13;61;NC;0;1;1;Non abonné
25706;97;351;1;155;2023;1980;2;5;30;O;0;2;1;Non abonné
25715;69;210;1;53;2023;1989;1;26;40;NC;0;1;1;Non abonné
25763;24;390;2;105;2023;1986;1;9;40;N;0;1;1;Non abonné
25769;54;000;2;151;2023;1954;7;28;20;O;0;1;1;Non abonné
25842;81;100;1;68;2023;1978;4;7;40;O;0;1;1;Non abonné
25885;91;630;3;117;2023;1970;5;1;70;STE;0;0;1;Non abonné
25919;78;620;1;90;2023;1996;11;5;62;N;0;1;1;Non abonné
25950;75;020;1;92;2023;1993;5;28;40;N;0;1;1;Non abonné
26053;78;470;1;90;2023;1994;9;11;40;N;0;1;0;Non abonné
26077;14;112;1;111;2023;1985;4;1;80;N;0;1;1;Non abonné
26121;29;490;1;139;2023;1996;9;12;62;N;0;1;1;Non abonné
26303;69;002;1;51;2023;1958;12;22;40;NC;0;1;1;Non abonné
26340;54;190;2;103;2023;1975;7;22;80;O;0;1;1;Non abonné
26410;73;000;1;64;2023;1978;9;13;40;O;0;1;1;Non abonné
26413;35;380;1;46;2023;1968;3;17;40;NC;0;1;1;Non abonné
26464;93;500;1;92;2023;1991;5;29;30;N;0;1;1;Non abonné
26466;10;100;2;131;2023;1965;1;25;30;O;0;1;1;Non abonné
26481;11;000;1;11;2023;1996;12;3;40;N;0;1;1;Non abonné
26546;44;760;1;66;2023;1992;6;18;40;N;0;1;1;Non abonné
26552;45;770;1;122;2023;1959;4;7;30;NC;0;1;1;Non abonné
26586;31;380;1;68;2023;1994;6;12;80;NC;0;1;1;Non abonné
26625;14;270;1;111;2023;1992;11;10;40;NC;0;2;0;Non abonné
26659;17;250;1;9;2023;1954;7;27;40;N;0;1;1;Non abonné
26674;11;400;1;11;2023;1970;1;6;20;O;0;1;1;Non abonné
26747;83;830;1;30;2023;1961;7;21;80;O;0;1;1;Non abonné
26784;05;000;1;39;2023;1984;6;7;80;NC;0;2;0;Non abonné
26805;33;130;1;9;2023;1954;4;1;40;NC;0;1;1;Non abonné
26875;40;200;1;147;2023;1964;11;17;12;O;0;0;0;Non abonné
26900;76;600;1;27;2023;1989;5;27;20;N;0;1;1;Non abonné
26963;83;640;1;30;2023;1991;4;26;40;O;0;1;1;Abonné
26971;75;020;1;92;2023;1985;12;26;40;NC;0;1;1;Non abonné
26980;76;590;1;27;2023;1957;1;15;40;O;0;1;1;Non abonné
27039;21;000;1;131;2023;1991;12;12;63;O;0;1;1;Non abonné
27072;16;400;1;9;2023;1963;11;1;40;O;0;1;1;Non abonné
27081;64;140;1;104;2023;1949;12;2;61;O;0;1;1;Non abonné
27135;30;210;2;36;2023;1976;4;27;40;O;0;1;1;Non abonné
27406;77;320;1;92;2023;1996;6;6;62;N;0;1;1;Non abonné
27479;39;700;1;131;2023;1991;3;15;50;N;0;1;1;Non abonné
27498;59;134;1;166;2023;1958;9;30;40;O;0;1;1;Non abonné
27504;31;200;1;68;2023;1989;8;21;40;O;0;1;1;Non abonné
27537;43;160;1;62;2023;1996;11;8;40;NC;0;1;1;Non abonné
27544;45;320;1;122;2023;1992;4;8;80;N;0;1;1;Abonné
27649;69;006;1;51;2023;1972;6;8;80;NC;0;1;1;Non abonné
27778;69;007;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
27811;30;350;1;36;2023;1973;7;5;40;O;0;1;1;Non abonné
27849;06;000;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
27974;31;300;1;68;2023;1970;6;1;20;N;0;1;1;Non abonné
28052;30;240;2;36;2023;1960;1;31;40;O;0;1;1;Non abonné
28073;67;400;1;23;2023;1995;12;11;62;O;0;1;1;Non abonné
28079;25;000;1;131;2023;1991;7;1;62;N;0;1;1;Non abonné
28284;34;070;1;11;2023;1986;12;26;80;NC;0;1;1;Non abonné
28303;75;005;3;117;2023;1970;5;1;70;STE;0;2;1;Non abonné
28339;92;310;1;90;2023;1988;3;31;20;O;0;1;1;Non abonné
28390;42;160;1;13;2023;1986;4;10;40;NC;0;1;1;Non abonné
28482;91;330;1;92;2023;1995;7;4;62;NC;0;1;1;Non abonné
28626;69;440;1;51;2023;1975;5;18;40;NC;0;1;1;Non abonné
28679;33;000;1;9;2023;1983;8;5;63;N;0;1;1;Non abonné
28760;76;610;1;27;2023;1965;2;15;40;O;0;1;1;Non abonné
28861;69;120;1;51;2023;1993;5;11;40;N;0;1;1;Non abonné
28872;28;140;1;122;2023;1991;2;25;50;O;0;1;1;Non abonné
28919;49;270;1;66;2023;1995;8;7;40;N;0;1;1;Non abonné
29006;71;520;1;51;2023;1980;6;17;63;N;0;1;1;Abonné
29012;64;700;1;104;2023;1995;8;24;62;N;0;1;2;Non abonné
29069;97;354;2;155;2023;1977;3;27;40;N;0;1;1;Non abonné
29182;37;150;1;84;2023;1981;9;16;40;NC;0;1;1;Non abonné
29255;69;870;2;53;2023;1969;10;4;40;NC;0;0;1;Non abonné
29265;60;170;1;138;2023;1956;3;31;40;O;0;1;2;Abonné
29283;82;270;1;68;2023;1978;11;14;40;N;0;1;1;Non abonné
29400;83;330;1;30;2023;1986;3;12;20;O;0;1;1;Non abonné
29451;73;200;1;64;2023;1964;3;16;20;N;0;1;1;Non abonné
29466;82;440;1;68;2023;1991;1;4;40;NC;0;1;1;Non abonné
29485;33;360;1;9;2023;1992;7;28;40;N;0;1;1;Non abonné
29518;88;160;1;23;2023;1993;2;16;50;N;0;1;0;Non abonné
29530;32;450;1;68;2023;1978;5;13;40;O;0;1;1;Non abonné
29604;06;000;1;41;2023;1935;12;13;61;O;0;1;1;Non abonné
29661;17;138;1;9;2023;1987;7;19;80;N;0;1;1;Non abonné
29683;50;260;1;111;2023;1989;8;16;40;NC;0;1;1;Non abonné
29688;41;600;1;84;2023;1991;12;27;12;O;0;1;1;Non abonné
29866;20;220;1;41;2023;1989;2;15;12;O;0;1;1;Non abonné
29941;72;230;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
30077;69;007;1;51;2023;1990;6;13;40;N;0;1;1;Non abonné
30104;08;440;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
30106;64;300;2;104;2023;1973;1;26;62;NC;0;1;1;Non abonné
30142;94;110;3;117;2023;1970;5;1;70;STE;0;2;1;Non abonné
30250;69;380;1;53;2023;1984;3;6;12;N;0;1;1;Non abonné
30274;28;150;1;122;2023;1992;10;31;62;N;0;1;1;Non abonné
30334;83;700;1;30;2023;1964;3;23;40;O;0;2;1;Non abonné
30335;75;012;1;92;2023;1984;8;14;80;NC;0;1;1;Non abonné
30342;76;800;1;27;2023;1993;2;1;62;N;0;1;1;Non abonné
30381;36;300;2;113;2023;1990;7;25;40;N;0;1;1;Non abonné
30418;69;100;2;51;2023;1981;4;7;40;NC;0;1;1;Non abonné
30427;69;009;2;51;2023;1987;11;16;40;O;0;1;1;Non abonné
30515;72;300;1;84;2023;1967;8;27;40;O;0;1;1;Non abonné
30533;75;018;1;90;2023;1983;6;13;20;N;0;1;1;Non abonné
30645;13;720;1;33;2023;1974;12;16;40;NC;0;1;1;Non abonné
30689;38;320;1;39;2023;1993;7;30;40;N;0;1;1;Non abonné
30827;76;480;1;27;2023;1960;8;1;40;NC;0;2;0;Non abonné
30891;60;700;1;138;2023;1989;11;5;40;N;0;1;1;Non abonné
31010;45;360;1;122;2023;1987;6;28;40;NC;0;1;1;Non abonné
31043;26;110;1;112;2023;1981;8;15;63;O;0;1;1;Non abonné
31060;30;390;1;36;2023;1977;6;5;40;N;0;1;0;Non abonné
31183;31;700;1;68;2023;1993;6;15;40;N;0;1;1;Non abonné
31205;20;137;1;33;2023;1980;3;16;30;N;0;1;1;Non abonné
31348;38;340;1;39;2023;1990;8;21;50;N;0;1;1;Non abonné
31351;67;510;1;23;2023;1981;5;22;50;N;0;1;1;Non abonné
31367;05;000;1;39;2023;1992;4;15;40;O;0;1;1;Non abonné
31439;87;800;1;105;2023;1993;10;21;50;N;0;1;1;Non abonné
31451;26;210;1;112;2023;1986;10;10;80;N;0;1;1;Non abonné
31465;29;720;2;139;2023;1975;11;29;30;N;0;1;1;Non abonné
31485;01;120;1;51;2023;1992;5;20;50;N;0;1;1;Non abonné
31493;83;330;1;30;2023;1986;2;14;40;N;0;1;1;Non abonné
31538;64;310;1;104;2023;1993;3;10;40;N;0;1;1;Non abonné
31546;53;800;1;46;2023;1995;3;16;40;NC;0;1;1;Non abonné
31552;26;800;1;112;2023;1992;5;22;40;N;0;1;1;Non abonné
31629;74;370;1;64;2023;1981;12;24;12;NC;0;1;0;Non abonné
31846;33;980;1;9;2023;1993;2;7;62;N;0;0;1;Non abonné
31893;45;800;1;122;2023;1974;12;18;50;O;0;1;1;Non abonné
31900;30;220;1;36;2023;1976;9;20;14;NC;0;1;1;Abonné
32008;87;340;2;105;2023;1972;8;1;12;NC;0;1;1;Non abonné
32171;66;000;1;11;2023;1960;6;18;40;O;0;1;1;Non abonné
32357;21;130;1;131;2023;1996;4;27;63;N;0;2;1;Non abonné
32381;69;270;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
32415;43;160;1;62;2023;1990;12;19;50;N;0;1;1;Non abonné
32469;07;660;1;112;2023;1972;3;1;40;NC;0;1;1;Non abonné
32528;21;000;2;131;2023;1994;3;22;62;N;0;1;1;Non abonné
32610;33;140;1;9;2023;1955;2;11;64;O;0;1;1;Non abonné
32745;33;290;1;9;2023;1967;9;24;50;N;0;1;1;Non abonné
32776;54;113;1;103;2023;1958;4;4;40;N;0;1;1;Non abonné
32777;20;260;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
32825;40;230;1;147;2023;1968;10;15;80;O;0;2;1;Non abonné
32838;38;100;1;39;2023;1989;4;20;40;O;0;1;1;Non abonné
32863;66;000;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
32880;67;000;1;23;2023;1993;5;21;40;N;0;1;1;Abonné
32894;62;131;1;166;2023;1977;7;26;40;O;0;1;1;Non abonné
32898;75;001;3;117;2023;1950;1;1;70;STE;0;0;1;Non abonné
32918;92;300;1;92;2023;1992;2;27;40;NC;0;1;1;Non abonné
32965;78;780;1;90;2023;1993;7;2;50;N;0;1;1;Non abonné
33026;22;140;1;139;2023;1978;8;11;40;O;0;1;1;Non abonné
33031;13;250;2;107;2023;1988;9;29;40;NC;0;1;1;Non abonné
33229;87;000;1;105;2023;1944;3;30;61;N;0;2;0;Non abonné
33232;27;230;1;27;2023;1994;8;15;50;N;0;1;1;Non abonné
33243;26;400;2;112;2023;1994;12;1;62;O;0;1;0;Non abonné
33309;26;600;1;112;2023;1992;3;13;40;N;0;1;1;Non abonné
33374;19;000;1;105;2023;1988;12;2;40;N;0;1;1;Non abonné
33473;69;009;1;51;2023;1996;8;20;40;N;0;2;1;Non abonné
33490;89;120;1;122;2023;1969;1;4;40;O;0;1;1;Non abonné
33497;59;570;1;166;2023;1965;10;17;40;O;0;1;1;Non abonné
33601;92;100;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
33622;41;800;1;84;2023;1993;6;23;62;N;0;1;1;Non abonné
33647;83;990;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
33708;83;150;1;30;2023;1991;4;19;62;N;0;1;1;Non abonné
33752;62;820;1;166;2023;1992;11;13;40;N;0;1;1;Non abonné
33756;22;200;1;139;2023;1992;7;30;40;N;0;1;1;Non abonné
33776;44;640;1;66;2023;1993;8;21;40;O;0;2;1;Non abonné
33834;43;000;1;13;2023;1981;8;31;80;O;0;1;1;Non abonné
33843;77;600;1;92;2023;1955;9;15;30;O;0;2;1;Non abonné
33880;97;180;1;153;2023;1955;5;26;80;NC;0;2;0;Non abonné
33887;62;142;1;166;2023;1992;2;12;40;O;0;1;1;Non abonné
33908;34;500;1;11;2023;1968;9;7;40;N;0;1;1;Non abonné
33921;31;210;1;68;2023;1994;12;2;80;N;0;1;1;Non abonné
33946;07;250;1;112;2023;1995;3;17;40;N;0;1;1;Non abonné
33949;66;480;1;11;2023;1955;8;8;40;O;0;1;1;Non abonné
33952;13;190;1;33;2023;1977;10;27;50;NC;0;1;1;Non abonné
33969;76;410;1;27;2023;1991;2;25;40;N;0;1;1;Non abonné
34011;69;460;1;53;2023;1996;11;22;80;NC;0;1;1;Non abonné
34084;08;200;2;103;2023;1978;6;19;40;O;0;1;1;Abonné
34135;20;214;1;41;2023;1977;1;12;80;NC;0;1;1;Non abonné
34156;83;460;1;30;2023;1960;3;4;40;NC;0;1;1;Non abonné
34166;07;250;1;112;2023;1985;7;25;80;NC;0;2;1;Non abonné
34181;69;440;1;51;2023;1979;8;2;80;NC;0;1;1;Non abonné
34242;14;220;2;111;2023;1959;11;11;80;NC;0;2;0;Non abonné
34274;13;105;1;107;2023;1988;6;28;40;O;0;1;1;Non abonné
34300;06;500;1;41;2023;1991;5;21;50;O;0;1;1;Abonné
34336;92;200;1;90;2023;1996;3;31;80;N;0;1;1;Non abonné
34361;38;400;1;39;2023;1993;11;27;50;N;0;1;1;Non abonné
34390;62;350;1;166;2023;1960;1;9;80;O;0;1;1;Non abonné
34396;34;690;1;11;2023;1978;5;9;13;NC;0;1;1;Non abonné
34523;69;380;1;53;2023;1953;12;15;40;N;0;2;0;Non abonné
34582;70;200;1;131;2023;1995;7;5;50;N;0;1;1;Non abonné
34596;13;008;1;33;2023;1966;6;19;80;NC;0;1;1;Non abonné
34627;44;550;1;66;2023;1996;2;26;62;N;0;1;1;Non abonné
34701;33;690;1;9;2023;1993;4;29;80;NC;0;1;1;Non abonné
34769;83;600;1;30;2023;1987;8;4;80;NC;0;1;1;Non abonné
34773;25;820;1;131;2023;1976;6;11;40;N;0;2;1;Non abonné
34777;92;110;1;90;2023;1951;4;23;80;NC;0;1;1;Non abonné
34796;40;110;1;147;2023;1949;5;8;61;O;0;1;1;Non abonné
34824;12;630;1;11;2023;1995;3;24;40;N;0;1;1;Non abonné
34832;31;500;1;68;2023;1985;12;8;40;NC;0;1;1;Non abonné
34856;84;600;1;107;2023;1974;10;3;40;NC;0;1;1;Non abonné
34896;25;220;1;131;2023;1989;5;23;30;N;0;1;1;Non abonné
34906;83;130;1;30;2023;1968;5;26;80;N;0;2;1;Non abonné
34913;01;140;1;53;2023;1976;6;15;20;N;0;1;1;Non abonné
34967;26;120;1;112;2023;1970;1;7;40;O;0;1;0;Non abonné
34968;54;800;1;103;2023;1952;9;18;80;N;0;1;1;Non abonné
34987;69;210;1;53;2023;1969;8;29;20;O;0;1;1;Non abonné
34988;63;200;1;62;2023;1967;12;5;80;NC;0;1;1;Non abonné
34989;68;000;1;23;2023;1959;9;11;40;N;0;1;1;Non abonné
34998;06;500;1;41;2023;1994;3;3;80;NC;0;1;1;Non abonné
35007;72;400;1;84;2023;1979;5;2;80;NC;0;1;0;Non abonné
35023;33;700;1;9;2023;1993;11;30;40;N;0;1;1;Abonné
35043;77;171;1;92;2023;1967;7;14;80;O;0;1;1;Non abonné
35047;98;715;1;156;2023;1981;10;13;80;NC;0;2;1;Abonné
35079;24;800;1;105;2023;1992;9;14;50;N;0;1;1;Non abonné
35179;68;180;1;23;2023;1995;8;13;40;N;0;1;1;Non abonné
35214;13;760;1;107;2023;1961;1;19;12;O;0;1;1;Non abonné
35308;18;510;1;122;2023;1985;6;27;63;NC;0;1;1;Non abonné
35402;11;700;1;11;2023;1968;2;13;40;O;0;1;1;Non abonné
35420;71;600;1;51;2023;1984;6;13;40;O;0;1;1;Non abonné
35570;97;432;1;136;2023;1979;12;19;80;N;0;1;1;Non abonné
35577;94;270;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
35610;78;280;1;90;2023;1988;2;12;40;N;0;1;1;Non abonné
35615;30;240;1;36;2023;1957;12;25;63;N;0;2;1;Non abonné
35710;22;330;1;139;2023;1967;10;15;62;NC;0;1;0;Non abonné
35716;49;112;2;66;2023;1991;6;3;40;N;0;1;1;Non abonné
35723;21;170;2;131;2023;1991;11;13;40;N;0;1;1;Non abonné
35763;35;000;1;46;2023;2001;5;3;62;N;0;0;0;Non abonné
35784;98;713;1;156;2023;1969;1;3;80;O;0;1;1;Non abonné
35851;85;000;1;66;2023;1993;12;2;40;N;0;1;1;Non abonné
35951;13;001;1;33;2023;1970;3;7;40;NC;0;1;1;Non abonné
