nusoc;nucon;cateco;g01co;g02co;g03co;g04co;g05co;g06co;g09co;g10co;g13co;g15co;g16co;g17co;g18co;g19co;g21co;g22co;g23co;g25co;g26co;g28co;clasco;tar6co;bomaco;fracco;acreco;mcreco;jcreco;prmaco;usagco1
17981;2;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;2;3;366,85;0
17991;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,76;M;2023;2;3;590,71;0
18018;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;2;3;280,53;0
18110;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,72;A;2023;2;5;347,63;0
18123;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,51;M;2023;2;5;337,95;0
18230;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2024;2;1;112,49;3
18230;3;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2024;6;10;442,37;0
18341;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,90;A;2023;2;9;430,09;0
18773;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,90;M;2023;2;14;257,25;0
18787;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;N;0,50;A;2023;2;17;273,10;0
18800;3;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;1;1;153,53;0
18801;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;6;;0,64;M;2023;3;19;239,10;0
18954;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;6;N;0,50;M;2023;2;19;261,55;0
18996;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,51;A;2023;3;31;326,61;0
19073;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;N;0,76;A;2023;3;25;388,13;0
19155;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;N;0,80;M;2023;2;23;813,30;0
19155;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,64;M;2024;6;20;477,10;0
19156;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,72;A;2023;2;24;442,68;0
19311;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;M;2023;2;25;173,20;0
19322;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,72;M;2024;7;7;648,97;0
19322;1;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;;1,00;M;2023;2;25;163,72;0
19322;3;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;M;2024;6;19;79,41;0
19348;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;N;0,50;A;2023;2;25;259,00;0
19371;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;M;2023;2;26;329,65;0
19485;1;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;;1,00;A;2023;2;27;178,45;0
19550;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,95;A;2023;2;26;404,24;0
19743;2;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;3;;1,00;S;2023;3;31;126,53;0
19743;1;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;3;;1,00;S;2023;3;31;140,32;0
19764;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,76;M;2023;3;3;489,69;0
19930;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,51;A;2023;3;7;791,58;0
19989;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,95;A;2023;3;5;404,24;0
20065;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;3;6;70,54;0
20083;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;;0,95;A;2023;3;7;898,52;0
20141;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,51;A;2023;3;7;473,34;0
20141;2;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,50;A;2024;10;5;390,45;0
20157;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,80;A;2023;3;7;253,51;0
20192;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;A;2023;3;7;153,46;0
20324;3;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2024;3;28;320,40;0
20324;7;M;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;1,00;A;2024;6;16;125,26;0
20324;5;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;A;2024;4;13;69,16;0
20324;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;A;2023;3;15;231,62;0
20338;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,68;M;2023;3;10;287,87;0
20447;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,85;S;2023;3;11;382,84;0
20447;3;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;M;2023;3;11;90,73;0
20447;4;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;S;2024;4;27;90,73;0
20449;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,51;M;2023;3;11;251,43;0
20516;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;M;2023;3;12;416,51;0
20608;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,50;A;2023;3;13;447,67;0
20773;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,64;A;2023;3;13;850,12;0
20773;3;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,57;A;2024;9;16;1265,21;0
20794;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,72;M;2023;3;16;483,09;0
20842;1;C;1;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,90;S;2023;3;10;462,45;0
20917;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;3;19;154,00;3
21074;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,50;M;2023;3;19;265,76;0
21082;3;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2024;6;29;934,14;0
21112;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,80;A;2023;3;19;442,93;0
21128;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;6;;0,50;A;2023;3;19;193,16;0
21128;2;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,50;A;2023;1;15;339,68;0
21211;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;A;2023;3;19;1261,05;0
21259;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;3;31;439,45;0
21273;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2023;3;21;443,56;0
21343;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;M;2023;3;21;488,18;0
21350;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,72;M;2023;3;22;461,98;0
21418;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,76;M;2023;3;22;501,04;0
21465;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,80;A;2024;7;25;390,64;0
21475;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;S;2023;4;1;215,41;0
21486;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,50;M;2023;3;24;819,45;0
21560;1;M;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;1;27;308,52;0
21593;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2024;4;8;357,39;0
21593;4;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;;0,90;M;2024;4;20;508,03;0
21593;3;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,90;M;2024;4;14;523,17;0
21612;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;3;25;486,75;0
21623;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,72;M;2023;3;27;1257,32;0
21642;1;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;;0,50;M;2023;3;26;340,69;0
21709;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,72;M;2023;3;26;603,81;0
21712;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,50;S;2023;3;31;200,02;0
21712;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;S;2023;3;31;434,43;0
21731;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,90;A;2023;3;26;245,44;0
21802;2;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;5;7;340,89;0
21935;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;;0,95;A;2023;7;17;405,73;0
21981;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;A;2023;4;1;57,33;0
21981;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;A;2023;4;1;57,33;0
22025;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,54;M;2023;4;1;319,06;0
22207;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,57;M;2023;4;1;428,20;0
22213;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,64;M;2023;4;1;379,88;0
22277;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,60;M;2024;5;12;235,24;0
22277;5;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;6;;0,50;M;2023;2;28;187,26;0
22432;3;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;;1,00;M;2024;2;9;220,60;0
22481;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;A;2023;4;1;90,98;0
22571;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;1,00;A;2023;4;3;326,15;0
22571;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,80;A;2024;10;2;833,12;0
22624;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;1;;0,95;A;2023;4;3;865,44;0
22624;3;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;;0,95;A;2024;5;16;849,34;0
22794;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2023;4;7;270,17;0
22805;1;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;;1,00;A;2023;4;7;120,87;0
22811;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,85;M;2024;6;27;469,64;0
22822;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,60;A;2023;4;10;897,55;0
22931;3;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,64;M;2024;7;17;952,20;0
22954;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,90;S;2023;4;7;304,63;0
22977;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;4;7;532,66;0
23069;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,60;A;2023;4;11;514,35;0
23081;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,72;M;2023;4;10;371,61;0
23094;1;C;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;4;1;473,73;1
23126;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,60;A;2023;4;10;374,29;0
23126;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2024;10;13;214,93;0
23138;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,50;S;2023;4;11;607,04;0
23165;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,72;M;2023;4;11;446,81;0
23208;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;7;;0,50;A;2023;4;11;385,55;0
23217;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,51;M;2023;4;10;580,37;0
23228;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;;0,90;A;2023;6;8;711,33;0
23289;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,64;A;2023;4;11;281,26;0
23314;1;C;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;;0,95;A;2023;4;11;415,24;0
23327;1;M;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;;1,00;A;2023;4;11;145,50;0
23411;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,64;A;2023;4;13;340,47;0
23481;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;4;26;253,52;0
23671;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;7;;0,50;A;2023;4;23;222,30;0
23681;15;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;6;20;447,33;0
23681;9;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1,00;M;2024;6;30;64,30;0
23681;2;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2023;4;15;455,11;0
23681;11;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;7;28;398,64;0
23681;16;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;6;21;443,66;0
23681;12;M;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;7;31;623,02;0
23681;3;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;;1,00;M;2023;4;15;64,30;0
23681;4;M;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;M;2023;4;15;490,37;0
23681;10;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1,00;M;2024;7;20;64,30;0
23681;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2023;4;15;382,06;0
23681;5;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;7;7;441,43;0
23681;22;M;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2023;2;22;588,80;0
23681;7;M;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,50;M;2024;3;14;456,74;1
23681;18;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;;1,00;M;2024;6;19;391,03;0
23681;21;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1,00;M;2024;7;23;71,79;0
23681;20;M;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;M;2024;7;14;594,62;0
23681;13;M;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;;;1,00;M;2024;3;6;782,67;0
23681;19;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1,00;M;2024;7;12;370,58;0
23704;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;4;16;576,08;1
23704;2;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;4;16;576,08;1
24088;1;C;1;1;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;;0,90;M;2023;4;21;900,97;0
24139;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;M;2023;5;23;641,10;0
24183;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;;0,95;M;2023;4;21;1501,37;0
24308;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,85;M;2023;4;22;818,62;0
24308;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,85;M;2024;2;17;316,26;0
24356;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,76;M;2023;4;22;439,78;0
24364;1;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;;1,00;A;2023;4;22;81,15;0
24364;2;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;;0,51;A;2024;2;2;810,51;0
24365;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,85;M;2023;4;22;559,82;0
24385;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,50;A;2023;4;25;1343,02;0
24429;1;C;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;;0,95;A;2023;4;23;313,83;0
24480;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;6;;0,54;M;2023;7;6;522,07;0
24582;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;N;0,72;A;2023;4;24;839,09;0
24624;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,64;M;2023;4;24;415,58;0
24725;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,90;M;2023;4;25;864,78;0
24842;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;3;N;0,76;A;2023;4;27;489,99;0
24874;2;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;2;;0,95;A;2024;2;10;463,92;0
24874;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;;1,00;A;2023;4;28;443,04;0
24880;1;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;0,90;M;2023;4;28;64,02;0
24911;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;6;;0,51;A;2023;4;30;536,30;0
25018;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2023;5;5;522,08;0
25018;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2024;6;16;522,95;0
25069;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;A;2023;5;3;113,69;0
25069;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;;1,00;A;2023;5;3;102,76;0
25109;1;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;4;N;0,50;A;2023;5;1;738,50;0
25126;2;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;5;;0,68;M;2024;7;30;685,93;0
25191;1;M;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;3;;1,00;A;2023;5;10;194,16;0
25207;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4;;0,68;A;2023;4;30;599,70;0
25251;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;A;2023;4;30;356,33;0
25279;2;M;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;0,50;A;2023;5;12;296,75;0
25303;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4;;0,72;M;2023;5;1;574,64;0
25358;1;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;0,72;M;2023;5;2;328,04;0
25366;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;2;;1,00;A;2023;5;1;791,54;0
25399;1;M;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;7;;0,50;A;2023;5;1;281,99;0
25459;3;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1,00;M;2024;3;24;85,58;0
25459;2;M;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;;1,00;M;2023;12;12;87,81;0
25459;1;M;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;3;;1,00;M;2023;5;4;139,10;0
