nusoc;nucon;famgta;markli;apcoco;acircu;mcircu;utimot;pfco
23126;2;0125;HONDA;CB 125F;2009;10;B;1
23138;1;1690;HARLEY-DAVIDSON;DYNA SWITCHBACK ABS;2012;5;CU;15
23165;1;0850;BMW;R850R;1998;4;B;8
23208;1;0750;HONDA;CB-SEVEN FIFTY;1998;3;B;7
23217;1;0600;KAWASAKI;ZX-6R NINJA;1996;3;SS;6
23228;2;0600;SUZUKI;BANDIT 34CV;2004;2;BS;6
23289;1;0125;HONDA;CB 125F;2010;5;B;1
23314;1;0050;YAMASAKI;ROADSTER;2015;4;B;0
23327;1;0300;GAS GAS;EC ENDUCROSS RACING;2013;12;EN;4
23411;1;0650;SUZUKI;SV-S 34CV;2003;9;SS;7
23481;1;0600;YAMAHA;THUNDERCAT (YZF-R);1996;7;ST;6
23671;1;1150;INDIAN MOTORCYCLE;SCOUT  35KW;2021;5;CS;11
23681;15;01250000000000000;HONDA;PCX;2014;5;SGR;1
23681;9;0050;KYMCO;AGILITY;2012;3;SCB;0
23681;2;0050;KYMCO;AGILITY;2014;4;SCB;0
23681;11;0050;KYMCO;AGILITY;2013;4;SCB;0
23681;16;01250000000000000;HONDA;PCX;2012;4;SGR;1
23681;12;0530;YAMAHA;T-MAX ABS;2013;5;SCS;6
23681;3;0125;HONDA;PCX;2011;11;SGR;1
23681;4;0125;YAMAHA;X-MAX;2007;8;SCS;1
23681;10;0050;KYMCO;AGILITY;2012;4;SCB;0
23681;1;0050;KYMCO;AGILITY;2011;4;SCB;0
23681;5;0125;HONDA;PCX;2010;9;SGR;1
23681;22;0125;HONDA;PCX;2016;11;SGR;1
23681;7;0125;HONDA;PCX;2011;6;SGR;1
23681;18;0500;YAMAHA;T-MAX IE;2012;7;SCS;5
23681;21;0125;HONDA;PCX;2012;1;SGR;1
23681;20;0125;HONDA;PCX;2016;4;SGR;1
23681;13;0530;YAMAHA;T-MAX IRON MAX;2016;4;SCS;6
23681;19;0050;YAMAHA;NEO'S;2015;6;SCB;0
23704;1;0050;PEUGEOT;LUDIX ONE 1P;2016;1;SCB;0
23704;2;0050;PEUGEOT;LUDIX ONE 1P;2016;1;SCB;0
24088;1;0050;PIAGGIO;FLY 2T;2015;4;SCB;0
24139;1;0600;HONDA;HORNET       (71KW);2005;6;SB;6
24183;1;0650;SUZUKI;GLADIUS ABS  35KW;2015;4;BS;7
24308;1;0750;SUZUKI;GSX-R IE;2012;2;HYS;7
24308;2;0650;HONDA;NTV;1993;10;B;7
24356;1;0500;HONDA;CB 500F 34CV;2005;7;B;5
24364;1;0600;HONDA;XL-RM;1985;7;T;6
24364;2;1000;HONDA;AFRICA-TWIN;2016;9;TM;9
24365;1;0600;SUZUKI;BANDIT;2000;8;BS;6
24385;1;1300;SUZUKI;"GSX-R ""HAYABUSA""";2011;6;ST;12
24429;1;0050;PEUGEOT;LUDIX ONE 2P;2013;4;SCB;0
24480;2;1200;BMW;R1200RT;2014;9;GT;11
24582;1;08500000000000000;YAMAHA;MT-09 TRACER;2015;3;BS;8
24624;1;0600;SUZUKI;BANDIT 34CV;2003;6;BS;6
24725;1;0600;YAMAHA;FZS FAZER;2003;1;BS;6
24842;1;0600;SUZUKI;BANDIT;1997;9;BS;6
24874;2;0535;YAMAHA;XV VIRAGO;1990;1;CU;6
24874;1;05350000000000000;YAMAHA;XV VIRAGO;1990;1;CU;6
24880;1;0050;IMF;TWIST;2014;7;SCB;0
24911;1;0600;YAMAHA;FZ6-S FAZER;2006;4;BS;6
25018;1;0300;PIAGGIO;MP3 LT YOURBAN;2015;4;S32;4
25018;2;0125;HONDA;SH-I;2018;6;SGR;1
25069;2;0150;KYMCO;QUAD MXER;2003;2;QM2;2
25069;1;0125;SUZUKI;GN125D;1992;7;CU;1
25109;1;1000;YAMAHA;"FZ1 ""N""";2014;9;SB;9
25126;2;0675;TRIUMPH;STREET TRIPLE R;2014;4;SB;7
25191;1;0999;DUCATI;999 SUPERBIKE BIPOST;2005;9;HYS;9
25207;1;0650;SUZUKI;SV-N 34CV;2006;7;BS;7
25251;1;0125;HONDA;SH-I TOP BOX;2008;4;SGR;1
25279;2;0125;PEUGEOT;TWEET;2010;5;SGR;1
25303;1;0750;KAWASAKI;Z 750-N IE;2004;9;SB;7
25358;1;0500;KAWASAKI;ER-5 (34CV);1999;6;B;5
25366;1;0650;SUZUKI;BANDIT IE 34CV;2007;4;BS;7
25399;1;0300;SYM;GTS;2009;8;SCG;3
25459;3;0250;GAS GAS;EC ENDUCROSS;2003;1;EN;3
25459;2;0750;YAMAHA;YZF-R;1998;1;SS;7
25459;1;0916;DUCATI;ST4;1999;12;ST;9
25466;1;1000;HONDA;AFRICA-TWIN ADVENTUR;2019;2;TM;9
25474;1;1000;APRILIA;RS-V4 FACTORY APRC;2012;10;HYS;9
25536;3;0125;YAMAHA;SR;1992;6;CU;1
25536;1;0800;HONDA;VFR-F;1998;1;ST;8
25660;1;0125;KEEWAY;LEONE;2007;8;SCS;1
25706;1;0675;TRIUMPH;STREET TRIPLE;2007;10;SB;7
25715;1;1000;HONDA;"VTR ""FIRESTORM""";1997;3;SS;9
25763;1;1000;YAMAHA;R1 (YZF-R1);1999;4;HYS;9
25769;1;0125;YAMAHA;DTF;1977;1;T;1
25842;1;0650;HONDA;DOMINATOR;1990;7;T;7
25842;4;0650;SUZUKI;DR 650 SET;2000;4;T;7
25842;3;0955;TRIUMPH;DAYTONA IE T595;1999;1;SS;9
25885;1;0883;HARLEY-DAVIDSON;SPORTSTER ROADSTER A;2015;4;B;9
25919;2;0800;HONDA;VFR-F;2000;12;ST;8
25919;1;0600;YAMAHA;XJ6 DIVERSION ABS 34;2009;10;B;6
25950;1;1200;KAWASAKI;ZX-12R NINJA;2005;4;HYS;11
26053;1;1000;KAWASAKI;Z1000 IE ABS;2015;4;SB;10
26077;1;0850;YAMAHA;MT-09 ABS;2014;4;SB;8
26121;1;06000000000000000;HONDA;HORNET 34CV;2001;1;SB;6
26303;1;0500;ROYAL ENFIELD;BULLET ELECTRA EFI;2011;10;B;5
26340;1;1200;HARLEY-DAVIDSON;SPORTSTER FORTY-EIGH;2010;9;B;11
26410;2;0050;PEUGEOT;103;1971;1;B;0
26410;1;0600;YAMAHA;FZ6-S FAZER;2005;7;BS;6
26413;2;0750;SUZUKI;GSX-R IE;2004;4;HYS;7
26413;1;1300;SUZUKI;"GSX-R ""HAYABUSA""";2001;5;ST;12
26413;3;0750;SUZUKI;GSX-R;1987;5;SS;7
26464;1;05300000000000000;YAMAHA;T-MAX BRONZE MAX ABS;2014;6;SCS;6
26466;2;1690;HARLEY-DAVIDSON;SOFTAIL FAT BOY ABS;2015;6;CU;15
26466;4;0883;HARLEY-DAVIDSON;SPORTSTER IRON ABS;2015;9;B;9
26466;1;1340;HARLEY-DAVIDSON;SOFTAIL HERITAGE;1994;3;CU;12
26481;2;0954;HONDA;CBR-RR FIREBLADE;2003;10;HYS;9
26481;4;06500000000000000;KAWASAKI;ER-6N;2012;1;BS;7
26481;3;1000;HONDA;CBR-RR FIREBLADE;2011;8;HYS;9
26481;1;0600;HONDA;HORNET  34CV;1999;9;SB;6
26546;1;0500;SUZUKI;GS 34CV;2006;5;B;5
26552;1;0900;DUCATI;SUPERSPORT;1994;4;RS;9
26552;2;0750;DUCATI;F1;1989;9;RS;7
26586;1;0750;SUZUKI;GSR;2015;9;SB;7
26625;1;0750;SUZUKI;GSX-R IE;2004;9;HYS;7
26659;2;0125;YAMAHA;XV VIRAGO;1999;5;CU;1
26674;2;1000;YAMAHA;R1 IE (YZF-R1);2008;12;HYS;9
26674;1;0600;YAMAHA;THUNDERCAT (YZF-R);1996;6;ST;6
26747;1;0600;HONDA;TRANSALP +35KW;1990;6;TMR;6
26784;1;0850;YAMAHA;MT-09 TRACER;2017;12;BS;8
26805;1;0125;YAMAHA;X-MAX;2011;5;SCS;1
26875;1;0500;DASY;BUGGY BXR5;2010;6;QM2;5
26900;1;0900;TRIUMPH;LEGEND TT;2000;9;B;9
26963;1;0535;YAMAHA;XV VIRAGO;1989;1;CU;5
26971;1;05000000000000000;PIAGGIO;BEVERLY;2005;9;SGR;5
26980;1;1100;KAWASAKI;ZRX;1997;1;BS;10
27039;1;00500000000000000;CPI;SUPERMOTARD;2008;7;SM;0
27072;1;0125;JINLUN;HIGHLANDER;2008;4;CU;1
27081;1;0883;HARLEY-DAVIDSON;SPORTSTER LOW;2008;7;B;9
27135;2;0800;YAMAHA;FZ8;2013;3;SB;8
27135;3;0650;KAWASAKI;ER-6N;2011;9;BS;7
27406;1;0600;YAMAHA;XJ6 ABS   35KW;2013;4;B;6
27479;1;0650;KAWASAKI;ER-6N;2015;4;BS;7
27498;1;0050;YAMASAKI;ROADSTER;2015;5;B;0
27504;1;0400;HONDA;SILVER WING (FJS);2008;7;SCG;4
27537;4;0600;YAMAHA;R6 IE (YZF-R6);2005;9;HYS;6
27537;5;0750;SUZUKI;GSX-R IE;2005;6;HYS;7
27544;1;0600;SUZUKI;BANDIT 34CV;1998;3;BS;6
27649;1;0750;MOTO GUZZI;V7 III STONE S;2020;5;B;7
27778;1;0125;HONDA;FORZA (NSS125AD);2020;1;SCS;1
27811;1;0600;SUZUKI;BANDIT;1998;8;BS;6
27849;5;1000;CONTRAT FLOTTE;IDENTIFIE;2015;6;B;0
27849;6;10000000000000000;CONTRAT FLOTTE;IDENTIFIE;2016;1;B;0
27974;1;1000;HONDA;CB 1000FA ABS;2008;5;B;9
28052;1;0050;SYM;FIDDLE;2015;6;SCB;0
28073;1;0500;KAWASAKI;ER-5 (34CV);1998;2;B;5
28079;1;0125;HONDA;CBR-R IE;2014;3;RS;1
28284;2;0400;BETAMOTOR;RR;2013;1;EN;5
28284;3;0700;YAMAHA;TENERE 700 RALLY EDI;2022;3;TM;7
28284;5;0750;BMW;R75/5;1973;10;B;7
28284;4;0400;HONDA;CB 400N;1981;4;B;5
28303;1;0050;PEUGEOT;CITYSTAR;2015;5;SCG;0
28339;1;0800;BMW;F800S ABS;2006;11;RS;9
28390;2;02500000000000000;KTM;EXC 2T MTT1;2009;11;EN;3
28390;3;05000000000000000;HONDA;CX;1980;8;B;5
28482;1;05000000000000000;SUZUKI;GS-E 34CV;1998;6;B;5
28482;2;05000000000000000;HONDA;CB-S 34CV;2000;12;B;5
28626;2;1200;BMW;R NINE T URBAN GS;2017;9;TMR;11
28679;1;1000;YAMAHA;FZ1 FAZER;2006;10;BS;9
28760;2;05000000000000000;PEUGEOT;SATELIS EXECUTIVE;2008;4;SCG;5
28861;1;0500;HONDA;CB 500FA;2015;6;B;5
28872;1;0650;HONDA;DEAUVILLE 34CV;1999;9;GT;7
28919;3;0750;HONDA;VF-C;1996;8;CS;7
29006;1;0600;HONDA;CBR 600F;2011;4;SS;6
29012;2;00500000000000000;PEUGEOT;102;1980;1;B;0
29012;1;0600;YAMAHA;XTE;1990;6;T;6
29069;1;00500000000000000;PEUGEOT;SPEEDFIGHT 3 AIR RS;2011;1;SCS;0
29182;1;0125;HONDA;NSR;1992;1;SS;1
29255;1;0620;DUCATI;MONSTER IE;2003;3;BS;6
29265;2;0750;BMW;K75RT ABS;1996;3;GT;7
29283;1;0050;MBK;BOOSTER SPIRIT NAKED;2013;1;SCS;0
29400;1;0400;HONDA;XR-R;1998;5;EN;4
29451;2;1250;HARLEY-DAVIDSON;NIGHT-ROD SPECIAL AB;2014;1;BS;11
29466;2;0600;YAMAHA;FZS FAZER;2002;12;BS;6
29485;1;0821;DUCATI;MONSTER  70KW;2015;6;SB;8
29518;1;0450;HUSQVARNA;SM-R MTT1;2007;12;SM;5
29530;1;1000;SUZUKI;GSX-R;2008;1;HYS;9
29604;1;0050;HONDA;VISION;2015;6;SGR;0
29661;1;0750;APRILIA;SHIVER;2012;6;BS;7
29683;1;0750;KAWASAKI;Z 750-N IE;2009;7;SB;7
29683;2;0600;YAMAHA;FZS FAZER;2000;2;BS;6
29688;1;0650;SUZUKI;SV-N 34CV;2000;2;BS;7
29866;2;0125;ARCHIVE MOTORCYCLE;CAFE RACER AM-60;2019;1;B;1
29866;1;1200;DUCATI;MULTISTRADA S SPORT;2012;9;BS;11
29941;11;0050;EUROCKA;GTR;2005;9;SCB;0
29941;33;0050;NECO;TITO;2017;5;SCB;0
29941;22;0050;KYMCO;AGILITY;2013;5;SCB;0
29941;25;0050;NECO;FOR;2016;7;SCB;0
29941;1;0050;EUROCKA;SCOOTER GTR;2015;6;SCB;0
29941;2;0050;EUROCKA;SCOOTER GTR;2015;6;SCB;0
29941;4;0050;EUROCKA;SCOOTER GTR;2015;6;SCB;0
29941;7;0050;EUROCKA;SCOOTER GTR;2014;5;SCB;0
29941;20;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;28;0050;NECO;TITO;2016;6;SCB;0
29941;32;0050;NECO;TITO;2016;6;SCB;0
29941;35;0050;KYMCO;AGILITY;2010;12;SCB;0
29941;27;0050;NECO;ONE 4T;2017;6;SCB;0
29941;6;00500000000000000;EUROCKA;SCOOTER GTR;2015;6;SCB;0
29941;16;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;17;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;21;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;29;0050;JONWAY;TREK;2016;6;SCB;0
29941;30;0050;KYMCO;AGILITY;2008;5;SCB;0
29941;3;0050;EUROCKA;SCOOTER GTR;2015;6;SCB;0
29941;12;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;13;0050;NECO;FOR;2017;4;SCB;0
29941;15;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;18;0050;EUROCKA;SCOOTER GTR;2016;6;SCB;0
29941;26;0050;JONWAY;TREK;2016;6;SCB;0
29941;31;0050;NECO;TITO;2016;6;SCB;0
29941;34;0050;NECO;FOR;2017;6;SCB;0
29941;36;0050;KYMCO;AGILITY;2008;5;SCB;0
30077;1;0700;YAMAHA;"QUAD YFM-R ""RAPTOR""";2009;1;QU;0
30104;1;02500000000000000;KYMCO;QUAD MXU;2015;5;QM2;3
30106;1;0050;YAMAHA;BW'S EASY;2013;12;SCS;0
30142;1;1800;HONDA;GOLDWING CONFORT;2015;6;GT;16
30250;1;0600;YAMAHA;FZS FAZER;2000;4;BS;6
30274;1;1000;KAWASAKI;Z1000 IE;2007;7;SB;9
30334;1;0050;YAMAHA;NEO'S;2004;4;SCB;0
30335;1;00500000000000000;SHENKE;SILVER;2015;1;SCB;0
30342;2;0250;KTM;EXC-F MTT1;2009;4;EN;3
30381;1;0600;SUZUKI;BANDIT;2001;5;BS;6
30418;3;1000;SUZUKI;SV-S;2004;7;SS;9
30418;1;0600;HONDA;HORNET IE;2007;6;SB;6
30427;1;0675;TRIUMPH;STREET TRIPLE R;2011;4;SB;7
30427;2;0675;TRIUMPH;STREET TRIPLE R;2010;4;SB;7
30515;1;0800;KAWASAKI;Z800;2015;6;SB;8
30533;1;0900;YAMAHA;XJ;1988;5;B;8
30533;2;0900;YAMAHA;XJ;1988;5;B;8
30533;3;0500;YAMAHA;XT;1977;10;T;5
30645;2;00700000000000000;HONDA;DAX;1972;1;B;1
30689;3;0675;TRIUMPH;STREET TRIPLE R;2013;9;SB;7
30827;1;0125;HONDA;VT SHADOW;2004;2;CU;1
30891;1;0350;HUSABERG;FE ENDURO;2013;3;EN;4
30891;2;0250;HUSQVARNA;FE ENDURO;2018;10;EN;3
31010;2;0675;TRIUMPH;STREET TRIPLE R;2012;1;SB;7
31010;1;0250;YAMAHA;WR-F;2002;3;EN;3
31043;1;0050;ZHENHUA;DAX REPLICA;2012;7;B;1
31060;1;0050;MOTRAC;M3;2015;6;B;0
31183;2;0125;SHERCO;SHERCO 1.25;2006;10;TR;1
31183;1;0250;KTM;EXC-F MTT1 SIX DAYS;2020;12;EN;3
31205;1;0900;HONDA;CBR-RR FIREBLADE;1993;5;HYS;8
31348;2;1200;HARLEY-DAVIDSON;SPORTSTER FORTY-EIGH;2016;5;B;11
31351;1;0600;HONDA;HORNET       (70KW);2002;8;SB;6
31367;1;0125;HONDA;VARADERO;2002;5;TMR;1
31439;1;1000;HONDA;CB 1000R;2010;3;SB;9
31451;2;1000;KAWASAKI;ZX-10R NINJA  ABS;2016;11;HYS;10
31465;1;0900;TRIUMPH;SCRAMBLER IE;2011;1;B;8
31485;1;0050;YAMAHA;EW SLIDER;2006;2;SCS;0
31493;1;0850;YAMAHA;MT-09 TRACER;2014;12;BS;8
31538;1;0125;SUZUKI;GT;1976;2;B;1
31546;2;0600;HONDA;HORNET  34CV;2001;6;SB;6
31552;1;0200;KTM;EXC MTT1;2002;7;EN;3
31629;1;0600;YAMAHA;FZ6;2006;12;SB;6
31846;2;0600;YAMAHA;R6 IE (YZF-R6);2008;4;HYS;6
31846;1;0650;KAWASAKI;ER-6N 34CV;2009;6;BS;7
31893;1;0750;HONDA;VFR-F;1996;4;ST;7
31900;1;1290;KTM;SUPERDUKE R;2018;8;SB;12
32008;1;0675;TRIUMPH;STREET TRIPLE;2013;6;SB;7
32171;1;0125;SUZUKI;BURGMAN IE;2015;7;SCG;1
32357;1;0650;SUZUKI;"SV-S ""MODIFIEE CIRCU";2005;4;SS;7
32357;2;0850;YAMAHA;MT-09 TRACER (FULL);2017;4;BS;8
32381;1;0080;YAMAHA;ZEST;1999;12;SCB;1
32415;1;1000;VOXAN;CAFE RACER V2;2001;5;RS;9
32469;2;0125;KTM;DUKE;2017;5;B;1
32528;1;0500;HONDA;CB 500FA;2014;4;B;5
32610;1;0650;KAWASAKI;VULCAN S ABS;2015;2;CS;7
32745;1;0600;YAMAHA;XJ-N;1995;3;B;6
32745;4;0125;PEUGEOT;SATELIS CITY K15;2007;4;SCG;1
32745;2;0125;HONDA;CBR 125;2006;9;RS;1
32776;2;05000000000000000;HONDA;CB500F (< 1980);1972;5;B;5
32776;1;06500000000000000;SUZUKI;GS650L;1983;11;CU;7
32776;4;0500;HONDA;CB500F (< 1980);1972;5;B;5
32776;3;0650;SUZUKI;GS650L;1983;11;CU;7
32777;29;0125;YAMAHA;X-MAX ABS;2017;6;SCS;1
32777;13;0050;TNT MOTOR;ESTATE;2017;5;SCB;0
32777;27;00500000000000000;LONGJIA;ESTATE;2017;5;SCB;0
32777;28;00500000000000000;TNT MOTOR;ESTATE;2017;5;SCB;0
32777;1;0050;TNT MOTOR;OTTO;2015;7;SCB;0
32777;2;0050;TNT MOTOR;OTTO;2015;7;SCB;0
32777;5;0400;PIAGGIO;MP3 LT (TM);2010;5;S32;5
32777;22;0125;TNT MOTOR;OTTO;2016;7;SCB;1
32777;23;0125;TNT MOTOR;OTTO;2016;7;SCB;1
32777;24;0500;YAMAHA;T-MAX IE;2009;5;SCS;5
32777;25;1200;BMW;R1200GS ABS  PACK;2014;2;TMR;11
32777;6;01250000000000000;LML;STELLA STAR IE;2015;7;SCB;1
32777;7;0125;SUZUKI;VANVAN;2005;6;T;1
32777;8;12000000000000000;BMW;R1200GS;2010;8;TMR;11
